voivodeship_id,name,higher,post_secondary,secondary,basic_vacational,lower_secondary,primary_and_incomplete_primary
1,Dolnośląskie,10195,157,5818,1798,702,778
2,Kujawsko-pomorskie,7182,69,5862,2090,941,487
3,Lubelskie,8963,107,5472,1131,388,349
4,Lubuskie,2946,43,2925,976,333,342
5,Łódzkie,10557,149,6213,1331,466,620
6,Małopolskie,18563,196,9988,2871,436,380
7,Mazowieckie,33198,338,12602,2293,863,1060
8,Opolskie,3318,49,2292,862,204,206
9,Podkarpackie,9547,166,6186,1302,294,213
10,Podlaskie,5944,106,2966,592,270,200
11,Pomorskie,11870,184,6930,2462,729,812
12,Śląskie,16898,263,10563,3103,913,1174
13,Świętokrzyskie,4623,236,2830,664,176,138
14,Warmińsko-mazurskie,3818,135,3425,1005,588,487
15,Wielkopolskie,13006,179,9629,3637,839,576
16,Zachodniopomorskie,4808,61,3126,1020,532,582
,,,,,,,
